number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_gamma,params_grow_policy,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_params_decision_threshold,params_params_feature_fraction,params_params_resampling,params_params_sample_rows,params_params_scale_pos_weight,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,user_attrs_acc_test,user_attrs_acc_val,user_attrs_decision_threshold,user_attrs_f1_test,user_attrs_f1_val,user_attrs_feature_fraction,user_attrs_pr_auc_test,user_attrs_pr_auc_val,user_attrs_prec_test,user_attrs_prec_val,user_attrs_rec_test,user_attrs_rec_val,user_attrs_resampling_strategy,user_attrs_roc_auc_test,user_attrs_roc_auc_val,user_attrs_sample_rows,state
0,0.3660897623936638,2025-09-23 10:49:17.694630,2025-09-23 10:49:52.201781,0 days 00:00:34.507151,60.53082080079022,dart,0.8333800304661316,4.375872112626925,lossguide,22.420123713724433,0.0036905100721932025,10,8,8.663279761354557,700,forest,0.6914473368931056,0.5716766437045232,none,0.7307396811264659,3.1486803115634836,0.03551802909894347,weighted,0.07841636973138665,0.5067532150606222,0.7765380284573651,0.7787674037674037,0.6914473368931056,0.35318518518518516,0.3660897623936638,0.5716766437045232,0.5307579450236353,0.5284721832096132,0.5747348119575699,0.582089552238806,0.2549187339606501,0.26700898587933247,none,0.8028998522937976,0.7999560296476262,0.7307396811264659,COMPLETE
1,0.6196702671972711,2025-09-23 10:49:52.302720,2025-09-23 10:49:52.728582,0 days 00:00:00.425862,0.5079406641139773,gbtree,0.6935471974998055,5.684339488686485,depthwise,0.00012963993440545028,0.0730915536707506,3,5,2.3358825194833552,500,,0.47481278151973655,0.5644631488274267,undersample,0.5301127358146349,2.492305066047412,,,,0.6896765781779371,0.7253557170641827,0.726044226044226,0.47481278151973655,0.6206701541071681,0.6196702671972711,0.5644631488274267,0.7761794151806265,0.7671552122553538,0.4635691657866948,0.46392849542455844,0.938836612489307,0.9328198545143346,undersample,0.9057715355378405,0.9014037690469334,0.5301127358146349,COMPLETE
2,,2025-09-23 10:49:52.831814,2025-09-23 10:50:07.822280,0 days 00:00:14.990466,0.8291821660947629,dart,0.573048618285045,2.088767560948347,depthwise,0.0009286607861420475,0.4528612698907591,1,7,0.202364548436489,700,tree,0.6351779629995216,0.8696317896991508,undersample,0.9882297325066979,0.6238330970396088,0.3281647947326367,weighted,0.12436465621375242,0.4026332820318257,,,,,,,,,,,,,,,,,FAIL
3,0.6425491135601341,2025-09-23 10:50:38.666877,2025-09-23 10:51:13.394300,0 days 00:00:34.727423,60.53082080079022,dart,0.8333800304661316,4.375872112626925,lossguide,22.420123713724433,0.0036905100721932025,10,8,8.663279761354557,700,forest,0.6914473368931056,0.5716766437045232,none,0.7307396811264659,3.1486803115634836,0.03551802909894347,weighted,0.07841636973138665,0.5067532150606222,0.8486027228989661,0.8472563472563472,0.6914473368931056,0.6527353838929326,0.6425491135601341,0.5716766437045232,0.751059179851206,0.7466101299317776,0.7235814679854242,0.7299945563418617,0.5945252352437981,0.5738125802310655,none,0.8957259942310429,0.8928850603126859,0.7307396811264659,COMPLETE
4,0.5942857142857143,2025-09-23 10:51:13.518457,2025-09-23 10:51:13.940724,0 days 00:00:00.422267,0.5079406641139773,gbtree,0.6935471974998055,5.684339488686485,depthwise,0.00012963993440545028,0.0730915536707506,3,5,2.3358825194833552,500,,0.47481278151973655,0.5644631488274267,undersample,0.5301127358146349,2.492305066047412,,,,0.6896765781779371,0.6840004094584912,0.6947174447174447,0.47481278151973655,0.5839061868176304,0.5942857142857143,0.5644631488274267,0.672695376392212,0.673019117913066,0.42629403660696713,0.43566726511071213,0.9264328485885372,0.9345314505776636,undersample,0.8713969200994746,0.874226653576907,0.5301127358146349,COMPLETE
5,0.7027995520716686,2025-09-23 10:51:14.056072,2025-09-23 10:51:44.136658,0 days 00:00:30.080586,0.8291821660947629,dart,0.573048618285045,2.088767560948347,depthwise,0.0009286607861420475,0.4528612698907591,1,7,0.202364548436489,700,tree,0.6351779629995216,0.8696317896991508,undersample,0.9882297325066979,0.6238330970396088,0.3281647947326367,weighted,0.12436465621375242,0.4026332820318257,0.8625243115979118,0.8641482391482391,0.6351779629995216,0.7024152448482163,0.7027995520716686,0.8696317896991508,0.815086519686568,0.810844548691062,0.728735632183908,0.737312030075188,0.6779298545765612,0.6713735558408216,undersample,0.9215217698866067,0.920864104950252,0.9882297325066979,COMPLETE
6,0.4269519107697934,2025-09-23 10:51:44.256588,2025-09-23 10:51:49.148416,0 days 00:00:04.891828,1.4283436757818848,dart,0.4123115927515564,4.1426299451467,depthwise,0.00024259674980082617,0.0002748971713832693,6,5,0.8993930726120073,300,tree,0.3732765448028467,0.6350039865960824,none,0.5100537730937468,1.9296695294319153,0.46464809878810703,uniform,0.2867120572061913,0.6532811633652602,0.3527484901218139,0.3583128583128583,0.3732765448028467,0.4248157918675521,0.4269519107697934,0.6350039865960824,0.6873385594507005,0.6833001814545833,0.2697862507221259,0.27148006045808626,0.9987168520102652,0.9991442019683354,none,0.8685404437678654,0.8731498521240657,0.5100537730937468,COMPLETE
7,0.6541164658634538,2025-09-23 10:51:49.264659,2025-09-23 10:52:00.044213,0 days 00:00:10.779554,0.04816729655337448,dart,0.7595834202540035,2.230816326406183,lossguide,52.058789939770044,0.015486217163293382,4,8,5.209016311370383,400,tree,0.6824334538892896,0.8300867687463425,none,0.7119275242790899,2.2027246078483267,0.4405515985555808,uniform,0.5231455853722728,0.8771269379769022,0.8598628314054663,0.8589271089271089,0.6824334538892896,0.6564617314930992,0.6541164658634538,0.8300867687463425,0.7992407036379567,0.7905231969567792,0.7941712204007286,0.7911353976927747,0.5594525235243798,0.5575524176294394,none,0.9109247621603209,0.9088023451468816,0.7119275242790899,COMPLETE
8,0.0,2025-09-23 10:52:00.162444,2025-09-23 10:52:15.856974,0 days 00:00:15.694530,0.8302424198157791,dart,0.5451347483471791,5.908727612481732,depthwise,0.27922319558850817,0.0012686370088250765,4,4,5.127370874628437,500,tree,0.6995388026271465,0.9240041146611172,undersample,0.9340630286841072,0.7053721507221737,0.44596167750783605,uniform,0.7255745901414772,0.7216826160013512,0.7606715119254785,0.7607493857493858,0.6995388026271465,0.0,0.0,0.9240041146611172,0.7711540986732218,0.7622582194350562,0.0,0.0,0.0,0.0,undersample,0.9028186777722023,0.9000195033503784,0.9340630286841072,COMPLETE
9,0.6554621848739496,2025-09-23 10:52:15.976721,2025-09-23 10:52:16.396982,0 days 00:00:00.420261,71.30648520760764,gbtree,0.2093712673480016,7.22055599470348,lossguide,15.786794495246708,0.037998645149514045,1,3,2.2941829510695264,500,,0.5084146424816517,0.6726758403484514,undersample,0.5999982624482001,0.566640996669681,,,,0.8846426739140889,0.8330433002354386,0.8363022113022113,0.5084146424816517,0.6577124868835257,0.6554621848739496,0.6726758403484514,0.7299011081576948,0.7256415459833162,0.6456530696332922,0.66015625,0.6702309666381523,0.6508344030808729,undersample,0.8892802376100213,0.8865325075705763,0.5999982624482001,COMPLETE
