path,label,mvtec_class,split,defect_type
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/020.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/035.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/029.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/022.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/012.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/001.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/007.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/014.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/007.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/012.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/015.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/012.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/008.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/017.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/006.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/016.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/028.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/021.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/001.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/005.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/011.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/030.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/032.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/005.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/010.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/007.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/008.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/014.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/004.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/009.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/000.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/018.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/009.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/013.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/003.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/008.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/036.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/003.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/009.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/001.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/010.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/015.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/005.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/014.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/016.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/015.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/003.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/023.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/006.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/038.png,0,hazelnut,test,good
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/print/006.png,1,hazelnut,test,print
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/hole/011.png,1,hazelnut,test,hole
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/crack/017.png,1,hazelnut,test,crack
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/cut/010.png,1,hazelnut,test,cut
/home/jovyan/shared/xautoml_user/shared/mvtec_anomaly_detection/hazelnut/test/good/002.png,0,hazelnut,test,good
