path,label
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161355994.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161356306.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161356374.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161356999.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161359818.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161400724.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161401732.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161401905.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161402567.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161402665.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161402891.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161402982.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161403066.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161407036.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161407406.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161408254.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161409619.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161411135.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161412311.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161414370.bmp,0
/home/jovyan/shared/pdt/dataset_public/train/good/1DOLLAR3RD__good__CAM1-20250312 161419571.bmp,0
